condition_id,name,icd10,synonyms,expected_salt_classes,verified_by
C001,Viral fever,B34.9,"fever|bukhar|viral|temperature|viral bukhar","antipyretic|NSAID|antihistamine",
C002,Common cold / URI,J06.9,"cold|sardi|zukam|running nose|nazla|sardi zukam","antihistamine|decongestant|antipyretic|antitussive",
C003,Acute pharyngitis,J02.9,"sore throat|gala kharab|throat pain|gale mein dard|throat infection|gala dukhna","penicillin antibiotic|macrolide antibiotic|NSAID|antipyretic|topical analgesic",
C004,Acute bronchitis,J20.9,"chest cold|khaansi|cough|chest infection|seene mein jakadan|bronchitis","macrolide antibiotic|mucolytic|expectorant|bronchodilator|antitussive",
C005,Allergic rhinitis,J30.4,"allergy|sneezing|chhinke|nose allergy|dust allergy|allergic cold|naak ki allergy","antihistamine|intranasal corticosteroid|leukotriene antagonist|decongestant",
C006,Asthma,J45.9,"asthma|dama|breathing problem|saans ki takleef|wheezing|saans phoolna","inhaled corticosteroid|beta-2 agonist|leukotriene antagonist|anticholinergic bronchodilator",
C007,Acidity / GERD,K21.9,"acidity|gas|jalan|heartburn|acid|khatti dakar|seene mein jalan|reflux","proton pump inhibitor|H2 blocker|antacid|prokinetic",
C008,Gastritis,K29.7,"gas|stomach pain|pet dard|gastric|pet mein jalan|indigestion|badhazmi","proton pump inhibitor|H2 blocker|antacid|antispasmodic|prokinetic",
C009,Acute diarrhoea,A09,"loose motion|loose motions|dast|diarrhoea|pet kharab|motions","ORS|probiotic|antimotility agent|nitroimidazole antibiotic|zinc supplement",
C010,Constipation,K59.0,"constipation|kabz|hard stool|pet saaf nahi|motion nahi ho raha","osmotic laxative|stimulant laxative|bulk forming laxative|stool softener",
C011,Worm infestation,B82.9,"worms|pet ke keede|deworming|krimi|stomach worms","anthelmintic",
C012,Urinary tract infection,N39.0,"UTI|burning urine|peshab mein jalan|urine infection|urinary infection","fluoroquinolone antibiotic|cephalosporin antibiotic|nitrofuran antibiotic|urinary alkaliniser",
C013,Hypertension,I10,"BP|high BP|blood pressure|BP high hai|hypertension|pressure","calcium channel blocker|ARB|ACE inhibitor|beta blocker|thiazide diuretic",
C014,Type 2 diabetes,E11.9,"sugar|diabetes|sugar high|BSL|shugar|sugar ki bimari|blood sugar","biguanide|sulfonylurea|DPP-4 inhibitor|SGLT2 inhibitor|thiazolidinedione",
C015,Hypothyroidism,E03.9,"thyroid|low thyroid|TSH high|thyroid ki problem|hypothyroid","thyroid hormone",
C016,Dyslipidaemia,E78.5,"cholesterol|high cholesterol|lipid|cholesterol badha hua|triglycerides","statin|fibrate|cholesterol absorption inhibitor|omega-3 supplement",
C017,Anaemia,D64.9,"anaemia|khoon ki kami|low haemoglobin|HB kam|kamzori|low blood","iron supplement|vitamin B12 supplement|folic acid supplement",
C018,Osteoarthritis,M19.90,"joint pain|ghutne mein dard|knee pain|jodon ka dard|arthritis|ghutna dard","NSAID|topical NSAID|analgesic|proton pump inhibitor|calcium supplement",
C019,Fungal skin infection,B35.9,"fungal infection|daad|ringworm|khujli|itching|skin infection|fungal","topical antifungal|systemic antifungal|antihistamine",
C020,Migraine,G43.9,"migraine|headache|sar dard|sir dard|adha sar dard|head pain","triptan|NSAID|antipyretic|antiemetic|beta blocker",
