brand_id,base_brand,modifier,strength,unit,form,manufacturer,salt_ids,phonetic_key,aliases,verified_by
B001,Dolo,,650,mg,tablet,Micro Labs,S001,TL,dolo 650|dolo650|dolo six fifty,
B002,Dolo,,500,mg,tablet,Micro Labs,S001,TL,dolo 500|dolo five hundred,
B003,Calpol,,500,mg,tablet,GSK,S001,KLPL,calpol 500,
B004,Calpol,,650,mg,tablet,GSK,S001,KLPL,calpol 650,
B005,Crocin,Advance,500,mg,tablet,GSK,S001,KRSN,crocin advance|crocin,
B006,Crocin,,650,mg,tablet,GSK,S001,KRSN,crocin 650,
B007,Paracip,,500,mg,tablet,Cipla,S001,PRSP,paracip 500,
B008,Brufen,,400,mg,tablet,Abbott,S002,PRFN,brufen 400|brufen,
B009,Combiflam,,400,mg,tablet,Sanofi,S002|S001,KMPFLM,combiflam,
B010,Ibugesic,Plus,400,mg,tablet,Cipla,S002|S001,APJSK,ibugesic plus,
B011,Voveran,SR,100,mg,tablet,Novartis,S003,ARN,voveran sr|voveran,
B012,Voveran,,50,mg,tablet,Novartis,S003,ARN,voveran 50,
B013,Dynapar,QPS,50,mg,tablet,Troikaa,S003,TNPR,dynapar,
B014,Hifenac,,100,mg,tablet,Intas,S004,HFNK,hifenac 100|hifenac,
B015,Hifenac,P,100,mg,tablet,Intas,S004|S001,HFNK,hifenac p,
B016,Zerodol,,100,mg,tablet,Ipca,S004,JRTL,zerodol 100|zerodol,
B017,Zerodol,SP,100,mg,tablet,Ipca,S004|S001|S110,JRTL,zerodol sp|zerodol es pee,
B018,Zerodol,P,100,mg,tablet,Ipca,S004|S001,JRTL,zerodol p,
B019,Naprosyn,,500,mg,tablet,Rallis,S005,NPRSN,naprosyn 500|naprosyn,
B020,Naxdom,,500,mg,tablet,Sun Pharma,S005|S108,NKSTM,naxdom 500|naxdom,
B021,Nise,,100,mg,tablet,Dr Reddys,S112,NS,nise 100|nise,
B022,Sumo,,100,mg,tablet,Alkem,S112|S001,SM,sumo tablet|sumo,
B023,Meftal,Spas,250,mg,tablet,Blue Cross,S113|S044,MFTL,meftal spas,
B024,Meftal,Forte,500,mg,tablet,Blue Cross,S113,MFTL,meftal forte|meftal,
B025,Cetzine,,10,mg,tablet,GSK,S006,STSN,cetzine 10|cetzine,
B026,Okacet,,10,mg,tablet,Cipla,S006,AKST,okacet 10|okacet,
B027,Alerid,,10,mg,tablet,Cipla,S006,ALRT,alerid 10|alerid,
B028,Levocet,,5,mg,tablet,Cipla,S007,LST,levocet 5|levocet,
B029,Xyzal,,5,mg,tablet,UCB,S007,SSL,xyzal 5|xyzal,
B030,Teczine,,5,mg,tablet,Ajanta,S007,TKSN,teczine 5|teczine,
B031,Allegra,,120,mg,tablet,Sanofi,S008,ALKR,allegra 120|allegra,
B032,Allegra,,180,mg,tablet,Sanofi,S008,ALKR,allegra 180,
B033,Fexova,,120,mg,tablet,Ipca,S008,FKS,fexova 120|fexova,
B034,CPM,,4,mg,tablet,Generic,S009,KPM,cpm 4|cpm tablet,
B035,Piriton,,4,mg,tablet,GSK,S009,PRTN,piriton,
B036,Montair,,10,mg,tablet,Cipla,S010,MNTR,montair 10|montair,
B037,Montair,LC,10,mg,tablet,Cipla,S010|S007,MNTR,montair lc|montair el see,
B038,Montek,,10,mg,tablet,Sun Pharma,S010,MNTK,montek 10|montek,
B039,Montek,LC,10,mg,tablet,Sun Pharma,S010|S007,MNTK,montek lc,
B040,Sinarest,,500,mg,tablet,Centaur,S001|S009|S011,SNRST,sinarest,
B041,Cheston,Cold,500,mg,tablet,Cipla,S001|S009|S011,KSTN,cheston cold|cheston,
B042,Nasivion,,0.05,percent,nasal drops,Merck,S011,NSN,nasivion,
B043,Otrivin,,0.1,percent,nasal spray,GSK,S011,ATRN,otrivin,
B044,Ascoril,LS,100,mg,syrup,Glenmark,S015|S014|S030,ASKRL,ascoril ls|ascoril,
B045,Ascoril,D,10,mg,syrup,Glenmark,S013,ASKRL,ascoril d,
B046,Alex,,100,mg,syrup,Glenmark,S013|S009,ALKS,alex syrup|alex cough,
B047,Grilinctus,,100,mg,syrup,Franco Indian,S015|S009,KRLNKTS,grilinctus,
B048,Ambrodil,S,30,mg,syrup,Aristo,S014|S029,AMPRTL,ambrodil s|ambrodil,
B049,Mucolite,,30,mg,syrup,Dr Reddys,S014,MKLT,mucolite,
B050,Bromhexine,,8,mg,tablet,Generic,S016,PRMKSN,bromhexine 8,
B051,Mox,,500,mg,capsule,Ranbaxy,S017,MKS,mox 500|mox,
B052,Novamox,,500,mg,capsule,Cipla,S017,NMKS,novamox 500|novamox,
B053,Augmentin,,625,mg,tablet,GSK,S018,AKMNTN,augmentin 625|augmentin six twenty five,
B054,Augmentin,Duo,1000,mg,tablet,GSK,S018,AKMNTN,augmentin 1000|augmentin duo,
B055,Clavam,,625,mg,tablet,Alkem,S018,KLM,clavam 625|clavam,
B056,Moxikind,CV,625,mg,tablet,Mankind,S018,MKSKNT,moxikind cv|moxikind,
B057,Azee,,500,mg,tablet,Cipla,S019,AS,azee 500|azee,
B058,Azithral,,500,mg,tablet,Alkem,S019,AS0RL,azithral 500|azithral,
B059,Zithrox,,500,mg,tablet,FDC,S019,J0RKS,zithrox 500|zithrox,
B060,Clarimac,,500,mg,tablet,Macleods,S020,KLRMK,clarimac 500|clarimac,
B061,Zifi,,200,mg,tablet,FDC,S021,JF,zifi 200|zifi,
B062,Taxim,O,200,mg,tablet,Alkem,S021,TKSM,taxim o|taxim oh,
B063,Cefspan,,200,mg,capsule,Reliance,S021,SFSPN,cefspan,
B064,Monocef,,1,g,injection,Aristo,S022,MNSF,monocef,
B065,Cipmox,,500,mg,capsule,Cipla,S017,SPMKS,cipmox,
B066,Ciplox,,500,mg,tablet,Cipla,S023,SPLKS,ciplox 500|ciplox,
B067,Cifran,,500,mg,tablet,Cipla,S023,SFRN,cifran 500|cifran,
B068,Norflox,TZ,400,mg,tablet,Cipla,S024|S028,NRFLKS,norflox tz|norflox,
B069,Zanocin,,200,mg,tablet,Ranbaxy,S025,JNSN,zanocin 200|zanocin,
B070,O2,,200,mg,tablet,Medley,S025|S028,AA,o2 tablet|oh two,
B071,Nitrofur,,100,mg,tablet,Generic,S026,NTRFR,nitrofur 100,
B072,Martifur,MR,100,mg,tablet,Intas,S026,MRTFR,martifur mr|martifur,
B073,Metrogyl,,400,mg,tablet,JB Chemicals,S027,MTRJL,metrogyl 400|metrogyl,
B074,Flagyl,,400,mg,tablet,Abbott,S027,FLKL,flagyl 400|flagyl,
B075,Ornof,,500,mg,tablet,Intas,S028|S025,ARNF,ornof,
B076,Asthalin,,2,mg,tablet,Cipla,S029,AS0LN,asthalin 2|asthalin,
B077,Asthalin,HFA,100,mcg,inhaler,Cipla,S029,AS0LN,asthalin inhaler|asthalin hfa,
